Cluster,Model Type,MAE,RMSE
0,holt,0.0006271426989617576,0.0015620145492035089
1,holt,0.07510803706735783,0.08803602623508115
2,holt,0.042562044224785454,0.05453825597596191
3,holt,0.012386102981820598,0.014204301031104545
4,holt,0.002233826070371052,0.0034023076071892913
5,holt,0.04040953913251892,0.046314448336418144
