Domain,Model,RMSE,MAE,MAPE,SMAPE
软件开发,Prophet,53248.98314761279,44878.25626350813,549.8688771962132,74.52341012049897
机器人,Auto ARIMA,6410.561946164309,3179.7871461057143,7.540706355640915,11.431636500425489
半导体,Auto ARIMA,541.3581057988065,274.2262523564052,9.287381137527463,13.309982983346597
物联网,Auto ARIMA,108.72537780738334,64.63539771786033,14.44239047152026,19.829443140930902
数据服务,Auto ARIMA,22.61356714264854,12.346067678329472,23.36169196605763,29.85244247277158
深度学习,SimpleExponentialSmoothing,5.751254098859596,3.0769231176147094,14.43801086997164,17.207327727683687
自然语言处理,SimpleExponentialSmoothing,0.3922322702763681,0.07692307692307693,2.564102564102564,3.8461538461538463
大数据分析,ARIMA,16.867127793433,14.5,6.722132107897373,6.983001727727533
