城市,GRP（单位：亿元）,AI百度指数,政策数量,科学技术支出（单位：万元）,教育支出（单位：万元）,年份,注销
临沧市,630.0199,25734,1,6836,499120,2018,0.0
临沧市,759.0,24735,3,9290,538640,2019,0.0
临沧市,821.0,29429,3,15646,516790,2020,1.0
临沧市,908.0,20337,2,7391,428333,2021,11.0
临沧市,1000.0,23357,1,12821,486662,2022,12.0
临沧市,1050.0,45791,4,8393,487541,2023,16.0
丹东市,984.9006,35821,0,14620,281582,2015,0.0
丹东市,751.2352,39124,0,11081,302438,2016,0.0
丹东市,787.0,61620,1,9276,290763,2017,0.0
丹东市,816.7389,70627,1,9632,281796,2018,0.0
丹东市,768.0,58450,1,3874,294579,2019,0.0
丹东市,779.0,61806,1,3478,355490,2020,2.0
丹东市,854.0,46011,1,2404,286400,2021,13.0
丹东市,891.0,43774,2,4924,328939,2022,21.0
丹东市,945.0,61251,1,4855,325907,2023,24.0
丽水市,1103.2922,48059,0,54488,522659,2015,0.0
丽水市,1210.2414,61273,0,63560,589829,2016,0.0
丽水市,1250.92,75095,3,72667,670110,2017,0.0
丽水市,1394.665,82360,5,93193,689280,2018,0.0
丽水市,1477.0,74255,9,114303,766949,2019,0.0
丽水市,1540.0,77451,9,114952,839689,2020,20.0
丽水市,1710.0,66339,11,134809,870065,2021,69.0
丽水市,1831.0,68977,10,160453,923197,2022,72.0
丽水市,1964.0,86203,12,194878,973785,2023,106.0
丽江市,289.6117,10997,0,9035,209663,2015,0.0
丽江市,309.2899,13026,0,10529,233258,2016,0.0
丽江市,339.48,31066,0,10116,270472,2017,0.0
丽江市,350.7628,35993,1,10720,278921,2018,0.0
丽江市,473.0,30409,3,10066,268852,2019,3.0
丽江市,513.0,27345,3,6746,293552,2020,0.0
丽江市,570.0,22161,2,6234,291006,2021,10.0
丽江市,620.0,20868,1,5867,305057,2022,23.0
丽江市,672.0,42797,4,5936,267729,2023,21.0
乌兰察布市,913.7748,12551,0,8072,363314,2015,0.0
乌兰察布市,938.87,21150,0,6565,383503,2016,0.0
乌兰察布市,721.0,32759,0,7579,387189,2017,0.0
乌兰察布市,764.52,41706,2,7360,387767,2018,2.0
乌兰察布市,808.0,46064,2,5927,368331,2019,3.0
乌兰察布市,827.0,51718,3,6434,410633,2020,5.0
乌兰察布市,904.0,33436,3,12190,406296,2021,8.0
乌兰察布市,1018.0,33437,5,19442,416816,2022,11.0
乌兰察布市,1085.0,45184,4,29394,425876,2023,26.0
乌海市,559.8322,9379,0,19522,121031,2015,0.0
乌海市,572.2261,13294,0,17931,142619,2016,0.0
乌海市,410.0,18938,0,7506,106873,2017,0.0
乌海市,495.936,25816,2,10096,112997,2018,1.0
乌海市,551.0,25831,2,8888,123395,2019,3.0
乌海市,563.0,27769,3,12739,121360,2020,1.0
乌海市,718.0,14854,3,17129,132599,2021,3.0
乌海市,803.0,16577,5,17426,148415,2022,12.0
乌海市,713.0,31143,4,17673,189689,2023,8.0
乌鲁木齐市,2631.6398,90398,0,88119,704187,2015,0.0
乌鲁木齐市,2458.9766,97760,0,94672,717515,2016,0.0
乌鲁木齐市,2731.0,110909,1,100024,721454,2017,0.0
乌鲁木齐市,3099.7659,108402,2,102288,830981,2018,0.0
乌鲁木齐市,3413.0,107524,2,100828,900900,2019,0.0
乌鲁木齐市,3337.0,100870,1,97349,849548,2020,6.0
乌鲁木齐市,3692.0,96855,0,94603,766533,2021,100.0
乌鲁木齐市,3893.0,99653,0,33008,707180,2022,125.0
乌鲁木齐市,4168.0,125253,0,31067,744070,2023,322.0
乐山市,1301.2326,47579,0,18482,384160,2015,0.0
乐山市,1406.5848,65081,0,12510,384773,2016,0.0
乐山市,1508.0,74084,0,19528,421791,2017,0.0
乐山市,1615.0949,66154,5,10085,434526,2018,1.0
乐山市,1863.0,66120,8,10056,440407,2019,7.0
乐山市,2003.0,72701,11,6998,455051,2020,9.0
乐山市,2205.0,52980,8,5846,472450,2021,34.0
乐山市,2309.0,54460,9,12213,485175,2022,38.0
乐山市,2448.0,75773,7,19705,492944,2023,32.0
九江市,1902.6783,54777,0,51819,823120,2015,0.0
九江市,2096.1347,63692,0,58853,829246,2016,0.0
九江市,2545.34,83682,1,75892,908971,2017,0.0
九江市,2700.1852,91850,2,116150,998466,2018,1.0
九江市,3121.0,91144,2,175898,1154744,2019,1.0
九江市,3241.0,88469,1,154175,1180943,2020,21.0
九江市,3736.0,76652,2,155458,1170435,2021,88.0
九江市,4027.0,72626,3,147011,1202003,2022,175.0
九江市,3845.0,95621,5,153131,1267076,2023,260.0
云浮市,713.1416,28274,0,36396,325226,2015,0.0
云浮市,778.3051,37085,0,28829,348616,2016,0.0
云浮市,803.564351185374,50570,0,35911,373644,2017,0.0
